match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team_id,home_team,away_team_id,away_team,home_score,away_score,stadium,referee,source
-147898260606196,,,Premier League,2015/2016,2015-08-15,,,Sunderland,,Norwich,1,3,,K Friend,football-data
-140964659504576,,,Ligue 1,2015/2016,2015-08-15,,,Caen,,Toulouse,1,0,,,football-data
-133024423072140,,,Bundesliga,2015/2016,2015-08-15,,,Darmstadt,,Hannover,2,2,,,football-data
-96575001329603,,,Premier League,2015/2016,2015-08-15,,,Tottenham,,Stoke,2,2,,R Madley,football-data
-79340426518412,,,Premier League,2015/2016,2015-08-15,,,Watford,,West Brom,0,0,,P Tierney,football-data
-70184959242540,,,Ligue 1,2015/2016,2015-08-15,,,St Etienne,,Bordeaux,1,1,,,football-data
-68932099153514,,,Premier League,2015/2016,2015-08-15,,,Swansea,,Newcastle,2,0,,M Jones,football-data
-34279941338890,,,Bundesliga,2015/2016,2015-08-15,,,Werder Bremen,,Schalke 04,0,3,,,football-data
-27312326257643,,,Ligue 1,2015/2016,2015-08-15,,,Troyes,,Nice,3,3,,,football-data
-17611874288847,,,Ligue 1,2015/2016,2015-08-15,,,Guingamp,,Lyon,0,1,,,football-data
-15979142378555,,,Bundesliga,2015/2016,2015-08-15,,,Dortmund,,M'gladbach,4,0,,,football-data
-231989049203854,,,Premier League,2015/2016,2015-08-16,,,Crystal Palace,,Arsenal,1,2,,L Mason,football-data
-214806791601061,,,Premier League,2015/2016,2015-08-16,,,Man City,,Chelsea,3,0,,M Atkinson,football-data
-188568838921389,,,Bundesliga,2015/2016,2015-08-16,,,Stuttgart,,FC Koln,1,3,,,football-data
-187191511052338,,,Bundesliga,2015/2016,2015-08-16,,,Wolfsburg,,Ein Frankfurt,2,1,,,football-data
-67844761061968,,,Ligue 1,2015/2016,2015-08-16,,,Lorient,,Bastia,1,1,,,football-data
-66535518593475,,,Ligue 1,2015/2016,2015-08-16,,,Reims,,Marseille,1,0,,,football-data
-30981819578792,,,Ligue 1,2015/2016,2015-08-16,,,Paris SG,,Ajaccio GFCO,2,0,,,football-data
-36898721062538,,,Premier League,2015/2016,2015-08-17,,,Liverpool,,Bournemouth,1,0,,C Pawson,football-data
-254502690023857,,,Bundesliga,2015/2016,2015-08-21,,,Hertha,,Werder Bremen,1,1,,,football-data
-232078851155269,,,Ligue 1,2015/2016,2015-08-21,,,Montpellier,,Paris SG,0,1,,,football-data
-138701903014391,,,La Liga,2015/2016,2015-08-21,,,Malaga,,Sevilla,0,0,,,football-data
-240224611251870,,,La Liga,2015/2016,2015-08-22,,,La Coruna,,Sociedad,0,0,,,football-data
-234958752547444,,,Premier League,2015/2016,2015-08-22,,,West Ham,,Bournemouth,3,4,,J Moss,football-data
-204953748423759,,,Ligue 1,2015/2016,2015-08-22,,,Nantes,,Reims,1,0,,,football-data
-204789476040196,,,Premier League,2015/2016,2015-08-22,,,Sunderland,,Swansea,1,1,,N Swarbrick,football-data
-180384022048129,,,Bundesliga,2015/2016,2015-08-22,,,Hamburg,,Stuttgart,3,2,,,football-data
-174787959522314,,,Ligue 1,2015/2016,2015-08-22,,,Toulouse,,Monaco,1,1,,,football-data
-137870584468307,,,Ligue 1,2015/2016,2015-08-22,,,Bastia,,Guingamp,3,0,,,football-data
-133512120908708,,,Bundesliga,2015/2016,2015-08-22,,,FC Koln,,Wolfsburg,1,1,,,football-data
