team_id,team_name,source,source_team_id
FI_TEAM_000136,Lazio,football-data,
FI_TEAM_000137,Espanol,football-data,
FI_TEAM_000138,Vallecano,football-data,
FI_TEAM_000139,Hannover,football-data,
FI_TEAM_000140,Verona,football-data,
FI_TEAM_000141,Ath Madrid,football-data,
FI_TEAM_000142,Inter,football-data,
FI_TEAM_000143,Sampdoria,football-data,
FI_TEAM_000144,M'gladbach,football-data,
FI_TEAM_000145,Fiorentina,football-data,
FI_TEAM_000146,Sp Gijon,football-data,
FI_TEAM_000147,Ath Bilbao,football-data,
FI_TEAM_000148,Juventus,football-data,
FI_TEAM_000149,Betis,football-data,
FI_TEAM_000150,Levante,football-data,
FI_TEAM_000151,Sassuolo,football-data,
FI_TEAM_000152,Empoli,football-data,
FI_TEAM_000153,Frosinone,football-data,
FI_TEAM_000154,Palermo,football-data,
FI_TEAM_000155,Ingolstadt,football-data,
FI_TEAM_000156,Granada,football-data,
FI_TEAM_000157,Villarreal,football-data,
FI_TEAM_000158,Celta,football-data,
FI_TEAM_000159,Real Madrid,football-data,
FI_TEAM_000160,Milan,football-data,
FI_TEAM_000161,Barcelona,football-data,
FI_TEAM_000162,Bologna,football-data,
FI_TEAM_000163,Sociedad,football-data,
FI_TEAM_000164,Atalanta,football-data,
FI_TEAM_000165,Las Palmas,football-data,
FI_TEAM_000166,Genoa,football-data,
FI_TEAM_000167,Napoli,football-data,
FI_TEAM_000168,Valencia,football-data,
FI_TEAM_000169,Torino,football-data,
FI_TEAM_000170,Getafe,football-data,
FI_TEAM_000171,Roma,football-data,
FI_TEAM_000172,Eibar,football-data,
FI_TEAM_000173,Chievo,football-data,
FI_TEAM_000174,Carpi,football-data,
FI_TEAM_000175,Sevilla,football-data,
FI_TEAM_000176,Udinese,football-data,
FI_TEAM_000177,Hull,football-data,
FI_TEAM_000178,Burnley,football-data,
FI_TEAM_000179,Dijon,football-data,
FI_TEAM_000180,Middlesbrough,football-data,
FI_TEAM_000181,Metz,football-data,
FI_TEAM_000182,Nancy,football-data,
