match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team_id,home_team,away_team_id,away_team,home_score,away_score,stadium,referee
3922241,1267,107,African Cup of Nations,2023,2024-01-29,17:00:00.000,4924,Cape Verde Islands,4932,Mauritania,1,0,Stade Félix Houphouët-Boigny      ,Mohamed Adel Elsaid
3922238,1267,107,African Cup of Nations,2023,2024-01-27,20:00:00.000,775,Nigeria,2722,Cameroon,2,0,Stade Félix Houphouët-Boigny      ,Redouane Jiyed
3920396,1267,107,African Cup of Nations,2023,2024-01-18,20:00:00.000,774,Egypt,4885,Ghana,2,2,Stade Félix Houphouët-Boigny      ,Pierre Ghislain Atcho
3920385,1267,107,African Cup of Nations,2023,2024-01-14,17:00:00.000,774,Egypt,4978,Mozambique,2,2,Stade Félix Houphouët-Boigny      ,Dahane Beida
3920387,1267,107,African Cup of Nations,2023,2024-01-14,20:00:00.000,4885,Ghana,4924,Cape Verde Islands,1,2,Stade Félix Houphouët-Boigny      ,Jean Jacques Ndala Ngambo
3920419,1267,107,African Cup of Nations,2023,2024-01-24,20:00:00.000,4963,Zambia,788,Morocco,0,1,Stade Laurent Pokou,Patrice Tanguy Mebiame
3920418,1267,107,African Cup of Nations,2023,2024-01-24,20:00:00.000,4953,Tanzania,4881,Congo DR,0,0,Stade Amadou Gon Coulibaly,Amin Mohamed Omar
3920411,1267,107,African Cup of Nations,2023,2024-01-22,20:00:00.000,4924,Cape Verde Islands,774,Egypt,2,2,Stade Félix Houphouët-Boigny      ,Alhadi Allaou Mahamat
3920406,1267,107,African Cup of Nations,2023,2024-01-21,17:00:00.000,4963,Zambia,4953,Tanzania,1,1,Stade Laurent Pokou,Djindo Louis Houngnandande
3920401,1267,107,African Cup of Nations,2023,2024-01-19,20:00:00.000,4892,Guinea,4934,Gambia,1,0,Stade Charles Konan Banny de Yamoussoukro,Abdel Aziz Mohamed Bouh
3920398,1267,107,African Cup of Nations,2023,2024-01-18,19:00:00.000,3374,Côte d'Ivoire,775,Nigeria,0,1,Stade Olympique Alassane Ouattara,Mustapha Ghorbal
3920392,1267,107,African Cup of Nations,2023,2024-01-16,14:00:00.000,4921,Burkina Faso,4932,Mauritania,1,0,Stade de Bouaké,Jalal Jayed
3920391,1267,107,African Cup of Nations,2023,2024-01-16,20:00:00.000,4930,Mali,4976,South Africa,2,0,Stade Amadou Gon Coulibaly,Mohamed Adel Hussein
3920390,1267,107,African Cup of Nations,2023,2024-01-15,20:00:00.000,4898,Algeria,4901,Angola,1,1,Stade de Bouaké,Issa Sy
3920388,1267,107,African Cup of Nations,2023,2024-01-15,14:00:00.000,787,Senegal,4934,Gambia,3,0,Stade Charles Konan Banny de Yamoussoukro,Redouane Jiyed
3920384,1267,107,African Cup of Nations,2023,2024-01-13,22:00:00.000,3374,Côte d'Ivoire,4894,Guinea-Bissau,2,0,Stade Olympique Alassane Ouattara,Amin Mohamed Omar
3939991,223,282,Copa America,2024,2024-07-03,01:00:00.000,781,Brazil,769,Colombia,1,1,Levi''s Stadium,Jesús Valenzuela Sáez
3939987,223,282,Copa America,2024,2024-07-01,00:00:00.000,2305,Jamaica,3563,Venezuela,0,3,Q2 Stadium,Maurizio Mariani
3939982,223,282,Copa America,2024,2024-06-28,01:00:00.000,783,Uruguay,3564,Bolivia,5,0,MetLife Stadium,Juan Gabriel Benítez
3939970,223,282,Copa America,2024,2024-06-22,00:00:00.000,784,Peru,3562,Chile,0,0,AT&T Stadium,Wilton Pereira Sampaio
3939980,223,282,Copa America,2024,2024-06-26,22:00:00.000,3565,Ecuador,2305,Jamaica,3,1,Allegiant Stadium,Cristián Marcelo Garay Reyes
3939977,223,282,Copa America,2024,2024-06-26,01:00:00.000,3562,Chile,779,Argentina,0,1,MetLife Stadium,Andrés Matonte
3939975,223,282,Copa America,2024,2024-06-24,22:00:00.000,769,Colombia,3567,Paraguay,2,1,NRG Stadium,Darío Herrera
3939974,223,282,Copa America,2024,2024-06-23,22:00:00.000,1839,United States,3564,Bolivia,2,0,AT&T Stadium,Maurizio Mariani
3939986,223,282,Copa America,2024,2024-06-30,00:00:00.000,779,Argentina,784,Peru,2,0,Hard Rock Stadium,César Arturo Ramos Palazuelos
3939971,223,282,Copa America,2024,2024-06-23,01:00:00.000,794,Mexico,2305,Jamaica,1,0,NRG Stadium,Ismail Elfath
3939979,223,282,Copa America,2024,2024-06-27,01:00:00.000,3563,Venezuela,794,Mexico,1,0,SoFi Stadium,Raphael Claus
3939988,223,282,Copa America,2024,2024-07-01,00:00:00.000,794,Mexico,3565,Ecuador,0,0,State Farm Stadium,Mario Alberto Escobar Toca
3939990,223,282,Copa America,2024,2024-07-02,01:00:00.000,1839,United States,783,Uruguay,0,1,Arrowhead Stadium,Kevin Ortega
3939983,223,282,Copa America,2024,2024-06-29,01:00:00.000,3567,Paraguay,781,Brazil,1,4,Allegiant Stadium,Piero Maza Gomez
3939972,223,282,Copa America,2024,2024-06-22,22:00:00.000,3565,Ecuador,3563,Venezuela,1,2,Levi''s Stadium,Wilmar Alexander Roldán Pérez
3939978,223,282,Copa America,2024,2024-06-25,22:00:00.000,784,Peru,1833,Canada,0,1,Children''s Mercy Park,Mario Alberto Escobar Toca
3939976,223,282,Copa America,2024,2024-06-25,01:00:00.000,781,Brazil,795,Costa Rica,0,0,SoFi Stadium,César Arturo Ramos Palazuelos
3939992,223,282,Copa America,2024,2024-07-03,01:00:00.000,795,Costa Rica,3567,Paraguay,2,1,Q2 Stadium,Yael Falcón Pérez
3942416,223,282,Copa America,2024,2024-07-06,22:00:00.000,769,Colombia,798,Panama,5,0,State Farm Stadium,Maurizio Mariani
3943077,223,282,Copa America,2024,2024-07-15,01:15:00.000,779,Argentina,769,Colombia,1,0,Hard Rock Stadium,Raphael Claus
3943076,223,282,Copa America,2024,2024-07-14,00:00:00.000,1833,Canada,783,Uruguay,2,2,Bank of America Stadium,Alexis Herrera
3942852,223,282,Copa America,2024,2024-07-11,00:00:00.000,783,Uruguay,769,Colombia,0,1,Bank of America Stadium,César Arturo Ramos Palazuelos
3942785,223,282,Copa America,2024,2024-07-10,00:00:00.000,779,Argentina,1833,Canada,2,0,MetLife Stadium,Piero Maza Gomez
3942415,223,282,Copa America,2024,2024-07-07,01:00:00.000,783,Uruguay,781,Brazil,0,0,Allegiant Stadium,Darío Herrera
3939973,223,282,Copa America,2024,2024-06-24,01:00:00.000,783,Uruguay,798,Panama,3,1,Hard Rock Stadium,Piero Maza Gomez
3942229,223,282,Copa America,2024,2024-07-06,01:00:00.000,3563,Venezuela,1833,Canada,1,1,AT&T Stadium,Wilton Pereira Sampaio
3942228,223,282,Copa America,2024,2024-07-05,01:00:00.000,779,Argentina,3565,Ecuador,1,1,NRG Stadium,Andrés Matonte
3939985,223,282,Copa America,2024,2024-06-30,00:00:00.000,1833,Canada,3562,Chile,0,0,Inter&Co Stadium,Wilmar Alexander Roldán Pérez
3939984,223,282,Copa America,2024,2024-06-28,22:00:00.000,769,Colombia,795,Costa Rica,3,0,State Farm Stadium,Gustavo Tejera
3939981,223,282,Copa America,2024,2024-06-27,22:00:00.000,798,Panama,1839,United States,2,1,Mercedes-Benz Stadium,Ivan Arcides Barton Cisneros
3939989,223,282,Copa America,2024,2024-07-02,01:00:00.000,3564,Bolivia,798,Panama,1,3,Inter&Co Stadium,Edina Alves Batista
3939969,223,282,Copa America,2024,2024-06-21,00:00:00.000,779,Argentina,1833,Canada,2,0,Mercedes-Benz Stadium,Jesús Valenzuela Sáez
3857276,43,106,FIFA World Cup,2022,2022-12-01,15:00:00.000,1833,Canada,788,Morocco,1,2,Al Thumama Stadium,Raphael Claus
3857271,43,106,FIFA World Cup,2022,2022-11-21,13:00:00.000,768,England,797,Iran,6,2,Sheikh Khalifa International Stadium,Raphael Claus
3857296,43,106,FIFA World Cup,2022,2022-12-01,15:00:00.000,785,Croatia,782,Belgium,0,0,Ahmad bin Ali Stadium,Anthony Taylor
3857274,43,106,FIFA World Cup,2022,2022-11-25,16:00:00.000,941,Netherlands,3565,Ecuador,1,1,Sheikh Khalifa International Stadium,Mustapha Ghorbal
3857255,43,106,FIFA World Cup,2022,2022-12-01,19:00:00.000,778,Japan,772,Spain,2,1,Sheikh Khalifa International Stadium,Victor Miguel de Freitas Gomes
3857272,43,106,FIFA World Cup,2022,2022-11-25,19:00:00.000,768,England,1839,United States,0,0,Al Bayt Stadium,Jesús Valenzuela Sáez
3857278,43,106,FIFA World Cup,2022,2022-11-29,19:00:00.000,797,Iran,1839,United States,0,1,Al Thumama Stadium,Antonio Miguel Mateu Lahoz
3857277,43,106,FIFA World Cup,2022,2022-11-23,10:00:00.000,788,Morocco,785,Croatia,0,0,Al Bayt Stadium,Fernando Andrés Rapallini
3857273,43,106,FIFA World Cup,2022,2022-11-25,10:00:00.000,907,Wales,797,Iran,0,2,Ahmad bin Ali Stadium,Mario Alberto Escobar Toca
3857275,43,106,FIFA World Cup,2022,2022-11-30,15:00:00.000,777,Tunisia,771,France,1,0,Education City Stadium ,Matthew Conger
3857261,43,106,FIFA World Cup,2022,2022-11-29,19:00:00.000,907,Wales,768,England,0,3,Ahmad bin Ali Stadium,Slavko Vinčić
3857290,43,106,FIFA World Cup,2022,2022-11-24,10:00:00.000,773,Switzerland,2722,Cameroon,1,0,Al Janoub Stadium   ,Facundo Tello Figueroa
3857298,43,106,FIFA World Cup,2022,2022-11-24,16:00:00.000,780,Portugal,4885,Ghana,3,2,Stadium 974,Ismail Elfath
3857285,43,106,FIFA World Cup,2022,2022-11-21,16:00:00.000,787,Senegal,941,Netherlands,0,2,Al Thumama Stadium,Wilton Pereira Sampaio
3857282,43,106,FIFA World Cup,2022,2022-11-21,19:00:00.000,1839,United States,907,Wales,1,1,Ahmad bin Ali Stadium,Abdulrahman Ibrahim Al Jassim
3857297,43,106,FIFA World Cup,2022,2022-11-26,13:00:00.000,789,Poland,799,Saudi Arabia,2,0,Education City Stadium ,Wilton Pereira Sampaio
3857294,43,106,FIFA World Cup,2022,2022-11-29,15:00:00.000,941,Netherlands,3566,Qatar,2,0,Al Bayt Stadium,Bakary Papa Gassama
3857266,43,106,FIFA World Cup,2022,2022-11-26,16:00:00.000,771,France,776,Denmark,2,1,Stadium 974,Szymon Marciniak
3857284,43,106,FIFA World Cup,2022,2022-11-23,13:00:00.000,770,Germany,778,Japan,1,2,Sheikh Khalifa International Stadium,Ivan Arcides Barton Cisneros
3857254,43,106,FIFA World Cup,2022,2022-11-22,13:00:00.000,776,Denmark,777,Tunisia,0,0,Education City Stadium ,César Arturo Ramos Palazuelos
3857265,43,106,FIFA World Cup,2022,2022-11-22,16:00:00.000,794,Mexico,789,Poland,0,0,Stadium 974,Chris Beath
3857301,43,106,FIFA World Cup,2022,2022-11-25,13:00:00.000,3566,Qatar,787,Senegal,1,3,Al Thumama Stadium,Antonio Miguel Mateu Lahoz
3857268,43,106,FIFA World Cup,2022,2022-11-23,19:00:00.000,782,Belgium,1833,Canada,1,0,Ahmad bin Ali Stadium,Janny Sikazwe
3857269,43,106,FIFA World Cup,2022,2022-11-28,16:00:00.000,781,Brazil,773,Switzerland,1,0,Stadium 974,Ivan Arcides Barton Cisneros
3869321,43,106,FIFA World Cup,2022,2022-12-09,19:00:00.000,941,Netherlands,779,Argentina,2,2,Lusail Stadium,Antonio Miguel Mateu Lahoz
3857292,43,106,FIFA World Cup,2022,2022-12-01,19:00:00.000,795,Costa Rica,770,Germany,2,4,Al Bayt Stadium,Stéphanie Frappart
3857295,43,106,FIFA World Cup,2022,2022-11-27,10:00:00.000,778,Japan,795,Costa Rica,0,1,Ahmad bin Ali Stadium,Michael Oliver
3869685,43,106,FIFA World Cup,2022,2022-12-18,17:00:00.000,779,Argentina,771,France,3,3,Lusail Stadium,Szymon Marciniak
3869684,43,106,FIFA World Cup,2022,2022-12-17,17:00:00.000,785,Croatia,788,Morocco,2,1,Sheikh Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim
3857256,43,106,FIFA World Cup,2022,2022-12-02,19:00:00.000,786,Serbia,773,Switzerland,2,3,Stadium 974,Fernando Andrés Rapallini
3869151,43,106,FIFA World Cup,2022,2022-12-03,21:00:00.000,779,Argentina,792,Australia,2,1,Ahmad bin Ali Stadium,Szymon Marciniak
3857257,43,106,FIFA World Cup,2022,2022-11-30,15:00:00.000,792,Australia,776,Denmark,1,0,Al Janoub Stadium   ,Mustapha Ghorbal
3857258,43,106,FIFA World Cup,2022,2022-11-24,19:00:00.000,781,Brazil,786,Serbia,2,0,Lusail Stadium,Alireza Faghani
3857288,43,106,FIFA World Cup,2022,2022-11-26,10:00:00.000,777,Tunisia,792,Australia,0,1,Al Janoub Stadium   ,Daniel Siebert
3857267,43,106,FIFA World Cup,2022,2022-11-29,15:00:00.000,3565,Ecuador,787,Senegal,1,2,Sheikh Khalifa International Stadium,Clément Turpin
3857287,43,106,FIFA World Cup,2022,2022-11-24,13:00:00.000,783,Uruguay,791,South Korea,0,0,Education City Stadium ,Clément Turpin
3869486,43,106,FIFA World Cup,2022,2022-12-10,17:00:00.000,788,Morocco,780,Portugal,1,0,Al Thumama Stadium,Facundo Tello Figueroa
3857260,43,106,FIFA World Cup,2022,2022-11-30,19:00:00.000,799,Saudi Arabia,794,Mexico,1,2,Lusail Stadium,Michael Oliver
3857264,43,106,FIFA World Cup,2022,2022-11-30,19:00:00.000,789,Poland,779,Argentina,0,2,Stadium 974,Danny Desmond Makkelie
3857289,43,106,FIFA World Cup,2022,2022-11-26,19:00:00.000,779,Argentina,794,Mexico,2,0,Lusail Stadium,Daniele Orsato
3869254,43,106,FIFA World Cup,2022,2022-12-06,21:00:00.000,780,Portugal,773,Switzerland,6,1,Lusail Stadium,César Arturo Ramos Palazuelos
3869118,43,106,FIFA World Cup,2022,2022-12-04,21:00:00.000,768,England,787,Senegal,3,0,Al Bayt Stadium,Ivan Arcides Barton Cisneros
3869519,43,106,FIFA World Cup,2022,2022-12-13,21:00:00.000,779,Argentina,785,Croatia,3,0,Lusail Stadium,Daniele Orsato
3869354,43,106,FIFA World Cup,2022,2022-12-10,21:00:00.000,768,England,771,France,1,2,Al Bayt Stadium,Wilton Pereira Sampaio
3869552,43,106,FIFA World Cup,2022,2022-12-14,21:00:00.000,771,France,788,Morocco,2,0,Al Bayt Stadium,César Arturo Ramos Palazuelos
3869420,43,106,FIFA World Cup,2022,2022-12-09,17:00:00.000,785,Croatia,781,Brazil,1,1,Education City Stadium ,Michael Oliver
3869220,43,106,FIFA World Cup,2022,2022-12-06,17:00:00.000,788,Morocco,772,Spain,0,0,Education City Stadium ,Fernando Andrés Rapallini
3869219,43,106,FIFA World Cup,2022,2022-12-05,17:00:00.000,778,Japan,785,Croatia,1,1,Al Janoub Stadium   ,Ismail Elfath
3869253,43,106,FIFA World Cup,2022,2022-12-05,21:00:00.000,781,Brazil,791,South Korea,4,1,Stadium 974,Clément Turpin
3869152,43,106,FIFA World Cup,2022,2022-12-04,17:00:00.000,771,France,789,Poland,3,1,Al Thumama Stadium,Jesús Valenzuela Sáez
3869117,43,106,FIFA World Cup,2022,2022-12-03,17:00:00.000,941,Netherlands,1839,United States,3,1,Sheikh Khalifa International Stadium,Wilton Pereira Sampaio
3857270,43,106,FIFA World Cup,2022,2022-11-28,19:00:00.000,780,Portugal,783,Uruguay,2,0,Lusail Stadium,Alireza Faghani
3857263,43,106,FIFA World Cup,2022,2022-11-27,19:00:00.000,772,Spain,770,Germany,1,1,Al Bayt Stadium,Danny Desmond Makkelie
3857259,43,106,FIFA World Cup,2022,2022-11-28,10:00:00.000,2722,Cameroon,786,Serbia,3,3,Al Janoub Stadium   ,Mohamed Abdulla Hassan Mohd
3857283,43,106,FIFA World Cup,2022,2022-11-27,13:00:00.000,782,Belgium,788,Morocco,0,2,Al Thumama Stadium,César Arturo Ramos Palazuelos
3857286,43,106,FIFA World Cup,2022,2022-11-20,16:00:00.000,3566,Qatar,3565,Ecuador,0,2,Al Bayt Stadium,Daniele Orsato
3857300,43,106,FIFA World Cup,2022,2022-11-22,10:00:00.000,779,Argentina,799,Saudi Arabia,1,2,Lusail Stadium,Slavko Vinčić
3857299,43,106,FIFA World Cup,2022,2022-11-28,13:00:00.000,791,South Korea,4885,Ghana,2,3,Education City Stadium ,Anthony Taylor
3857293,43,106,FIFA World Cup,2022,2022-12-02,15:00:00.000,4885,Ghana,783,Uruguay,0,2,Al Janoub Stadium   ,Daniel Siebert
3857291,43,106,FIFA World Cup,2022,2022-11-23,16:00:00.000,772,Spain,795,Costa Rica,7,0,Al Thumama Stadium,
3857281,43,106,FIFA World Cup,2022,2022-11-27,16:00:00.000,785,Croatia,1833,Canada,4,1,Sheikh Khalifa International Stadium,Andrés Matonte
3857280,43,106,FIFA World Cup,2022,2022-12-02,19:00:00.000,2722,Cameroon,781,Brazil,1,0,Lusail Stadium,Ismail Elfath
3857279,43,106,FIFA World Cup,2022,2022-11-22,19:00:00.000,771,France,792,Australia,4,1,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes
3857262,43,106,FIFA World Cup,2022,2022-12-02,15:00:00.000,791,South Korea,780,Portugal,2,1,Education City Stadium ,Facundo Tello Figueroa
8650,43,3,FIFA World Cup,2018,2018-07-06,18:00:00.000,781,Brazil,782,Belgium,1,2,Ak Bars Arena,Milorad Mažić
7584,43,3,FIFA World Cup,2018,2018-07-02,18:00:00.000,782,Belgium,778,Japan,3,2,Rostov Arena,Malang Diedhiou
7554,43,3,FIFA World Cup,2018,2018-06-24,12:00:00.000,768,England,798,Panama,6,1,Stadion Nizhny Novgorod (Nizhniy Novgorod),Ghead Grisha
7539,43,3,FIFA World Cup,2018,2018-06-19,15:00:00.000,789,Poland,787,Senegal,1,2,Otkritie Bank Arena,Nawaf Abdulla Ghayyath Shukralla
7550,43,3,FIFA World Cup,2018,2018-06-22,18:00:00.000,786,Serbia,773,Switzerland,1,2,Rostec Arena,Felix Brych
7538,43,3,FIFA World Cup,2018,2018-06-18,12:00:00.000,790,Sweden,791,South Korea,1,0,Stadion Nizhny Novgorod (Nizhniy Novgorod),Joel Antonio Aguilar Chicas
7534,43,3,FIFA World Cup,2018,2018-06-17,15:00:00.000,770,Germany,794,Mexico,0,1,Stadion Luzhniki,Alireza Faghani
7543,43,3,FIFA World Cup,2018,2018-06-20,18:00:00.000,797,Iran,772,Spain,0,1,Ak Bars Arena,Andrés Cunha
7544,43,3,FIFA World Cup,2018,2018-06-20,15:00:00.000,783,Uruguay,799,Saudi Arabia,1,0,Rostov Arena,Clément Turpin
7546,43,3,FIFA World Cup,2018,2018-06-21,15:00:00.000,771,France,784,Peru,1,0,Ekaterinburg Arena,Mohamed Abdulla Hassan Mohd
